Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed
C2212-XL-K-V;60;110;28;171000;195000;32500;2650;–
C2212-XL-V;60;110;28;171000;195000;32500;2650;–
C4013-XL-K30-V;65;100;35;197000;285000;33500;3050;–
C4013-XL-V;65;100;35;197000;285000;33500;3050;–
C2213-XL-K-V;65;120;31;208000;216000;36000;2340;–
C2213-XL-V;65;120;31;208000;216000;36000;2340;–
C2214-XL-K-V;70;125;31;215000;229000;38000;2180;–
C2214-XL-V;70;125;31;215000;229000;38000;2180;–
C2314-XL;70;150;51;405000;440000;52000;6000;3200
C2314-XL-K;70;150;51;405000;440000;52000;6000;3200
C4015-XL-K30-V;75;115;40;209000;355000;39500;2470;–
C4015-XL-V;75;115;40;209000;355000;39500;2470;–
C2215-XL;75;130;31;197000;207000;33000;7000;3250
C2215-XL-K;75;130;31;197000;207000;33000;7000;3250
C2215-XL-K-V;75;130;31;221000;241000;38500;2050;–
C2215-XL-V;75;130;31;221000;241000;38500;2050;–
C2315-XL;75;160;55;430000;470000;56000;5600;3200
C2315-XL-K;75;160;55;430000;470000;56000;5600;3200
C2216-XL;80;140;33;224000;250000;41000;6300;2900
C2216-XL-K;80;140;33;224000;250000;41000;6300;2900
C2216-XL-K-V;80;140;33;260000;305000;49500;1790;–
C2216-XL-V;80;140;33;260000;305000;49500;1790;–
C2316-XL;80;170;58;510000;550000;62000;5100;3050
C2316-XL-K;80;170;58;510000;550000;62000;5100;3050
C2217-XL-V;85;150;36;315000;395000;59000;1640;–
C2217-XL-K-V;85;150;36;315000;395000;59000;1640;–
C2217-XL;85;150;36;275000;330000;49000;5900;2750
C2217-XL-K;85;150;36;275000;330000;49000;5900;2750
C2317-XL;85;180;60;550000;610000;68000;4800;2850
C2317-XL-K;85;180;60;550000;610000;68000;4800;2850
C2218-XL-K;90;160;40;330000;380000;55000;5300;2650
C2218-XL;90;160;40;330000;380000;55000;5300;2650
C2318-XL-K;90;190;64;650000;740000;77000;4350;2500
C2318-XL;90;190;64;650000;740000;77000;4350;2500
C2219-XL-K;95;170;43;370000;405000;61000;5000;2750
C2219-XL;95;170;43;370000;405000;61000;5000;2750
C2319-XL-K;95;200;67;660000;750000;78000;4350;2600
C2319-XL;95;200;67;660000;750000;78000;4350;2600
C4020-XL-K30-V;100;150;50;355000;530000;66000;1580;–
C4020-XL-V;100;150;50;355000;530000;66000;1580;–
C3120-XL-K-V;100;165;52;490000;660000;86000;1330;–
C3120-XL-V;100;165;52;490000;660000;86000;1330;–
C4120-XL-K30-V;100;165;65;530000;730000;83000;1350;–
C4120-XL-V;100;165;65;530000;730000;83000;1350;–
C2220-XL;100;180;46;420000;470000;68000;4700;2700
C2220-XL-K;100;180;46;420000;470000;68000;4700;2700
C2320-XL-K;100;215;73;820000;920000;97000;3850;2290
C2320-XL;100;215;73;820000;920000;97000;3850;2290
C3022-XL;110;170;45;360000;480000;63000;4800;2480
C3022-XL-K;110;170;45;360000;480000;63000;4800;2480
C4022-XL-V;110;170;60;510000;800000;89000;1320;–
C4022-XL-K30-V;110;170;60;510000;800000;89000;1320;–
C4122-XL-K30-V;110;180;69;680000;1000000;104000;1160;–
C4122-XL-V;110;180;69;680000;1000000;104000;1160;–
C2222-XL-K;110;200;53;550000;650000;89000;4050;2330
C2222-XL;110;200;53;550000;650000;89000;4050;2330
C3024-XL-V;120;180;46;435000;630000;81000;1140;–
C3024-XL-K-V;120;180;46;435000;630000;81000;1140;–
C3024-XL;120;180;46;390000;550000;70000;4450;2290
C3024-XL-K;120;180;46;390000;550000;70000;4450;2290
C4024-XL-K30-V;120;180;60;550000;890000;99000;1120;–
C4024-XL-V;120;180;60;550000;890000;99000;1120;–
C4124-XL-K30-V;120;200;80;780000;1140000;124000;1030;–
C4124-XL-V;120;200;80;780000;1140000;124000;1030;–
C2224-XL;120;215;58;630000;740000;101000;3700;2200
