Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed
N202-E-XL-TVP2;15;35;11;15100;10400;1610;27000;17900
NU202-E-XL-TVP2;15;35;11;15100;10400;1410;27000;17900
N203-E-XL-TVP2;17;40;12;20800;14600;2190;22900;15300
NU203-E-XL-TVP2;17;40;12;20800;14600;1870;22900;15300
NU2203-E-XL-TVP2;17;40;16;28500;21900;3500;22900;13200
NU303-E-XL-TVP2;17;47;14;30000;21200;2600;19600;13500
N204-E-XL-TVP2;20;47;14;32500;24700;3900;19200;12800
NU204-E-XL-TVP2;20;47;14;32500;24700;2900;19200;12800
NU2204-E-XL-TVP2;20;47;18;38500;31000;5100;19200;11100
NU304-E-XL-TVP2;20;52;15;37500;27000;3100;17200;11900
NU2304-E-XL-TVP2;20;52;21;49500;39000;6200;17200;9700
NU1005-XL-M1;25;47;12;18500;14800;1780;26000;12900
N205-E-XL-TVP2;25;52;15;34500;27500;4400;17200;11600
NU205-E-XL-TVP2;25;52;15;34500;27500;3300;17200;11600
NU2205-E-XL-TVP2;25;52;18;41500;34500;5700;17200;9600
N305-E-XL-TVP2;25;62;17;49000;37500;5600;14400;10100
NU305-E-XL-TVP2;25;62;17;49000;37500;4450;14400;10100
NU2305-E-XL-TVP2;25;62;24;67000;56000;9200;14400;8200
NU1006-XL-M1;30;55;13;22900;19300;2410;22400;11000
N206-E-XL-TVP2;30;62;16;46000;37500;5400;14200;9600
NU206-E-XL-TVP2;30;62;16;46000;37500;4350;14200;9600
NU2206-E-XL-TVP2;30;62;20;58000;50000;7800;14200;8000
N306-E-XL-TVP2;30;72;19;61000;48000;7700;12400;8900
NU306-E-XL-TVP2;30;72;19;61000;48000;6000;12400;8900
NU2306-E-XL-TVP2;30;72;27;86000;75000;13100;12400;7200
NU406-XL-M1;30;90;23;84000;65000;8300;13400;8100
NU1007-XL-M1;35;62;14;29000;26000;3200;19700;9700
N207-E-XL-TVP2;35;72;17;59000;50000;7600;12300;8100
NU207-E-XL-TVP2;35;72;17;59000;50000;6100;12300;8100
NU2207-E-XL-TVP2;35;72;23;73000;65000;10500;12300;7200
N307-E-XL-TVP2;35;80;21;76000;63000;10600;10900;7900
NU307-E-XL-TVP2;35;80;21;76000;63000;8100;10900;7900
NU2307-E-XL-TVP2;35;80;31;108000;98000;17600;10900;6600
NU407-XL-M1;35;100;25;103000;83000;10600;11800;7000
NU1008-XL-M1;40;68;15;33500;30500;3800;17700;8900
N208-E-XL-TVP2;40;80;18;63000;53000;8400;10900;7500
NU208-E-XL-TVP2;40;80;18;63000;53000;6600;10900;7500
NU2208-E-XL-TVP2;40;80;23;83000;75000;12700;10900;6300
N308-E-XL-TVP2;40;90;23;96000;79000;13600;9500;7100
NU308-E-XL-TVP2;40;90;23;96000;79000;10200;9500;7100
NU2308-E-XL-TVP2;40;90;33;132000;119000;21600;9500;5800
NU408-XL-M1;40;110;27;119000;95000;12400;10500;6500
NU1009-XL-M1;45;75;16;40000;37500;4750;16000;8100
N209-E-XL-TVP2;45;85;19;72000;63000;10300;10200;7000
NU209-E-XL-TVP2;45;85;19;72000;63000;8100;10200;7000
NU2209-E-XL-TVP2;45;85;23;87000;82000;13900;10200;5800
N309-E-XL-TVP2;45;100;25;116000;99000;17300;8500;6400
NU309-E-XL-TVP2;45;100;25;116000;99000;13200;8500;6400
NU2309-E-XL-TVP2;45;100;36;163000;154000;28000;8500;5200
NU409-XL-M1;45;120;29;143000;119000;15600;9600;5900
NU1010-XL-M1;50;80;16;42500;41500;5300;15000;7400
N210-E-XL-TVP2;50;90;20;75000;69000;11200;9700;6600
NU210-E-XL-TVP2;50;90;20;75000;69000;8800;9700;6600
NU2210-E-XL-TVP2;50;90;23;92000;88000;15000;9700;5300
N310-E-XL-TVP2;50;110;27;128000;110000;20100;7800;6100
NU310-E-XL-TVP2;50;110;27;131000;114000;15300;7800;6000
NU2310-E-XL-TVP2;50;110;40;193000;187000;35000;7800;4900
NU410-XL-M1;50;130;31;175000;148000;19800;8600;5300
NU1011-XL-M1;55;90;18;49500;50000;6600;13500;6900
N211-E-XL-TVP2;55;100;21;99000;95000;16100;8700;5800
NU211-E-XL-TVP2;55;100;21;99000;95000;12700;8700;5800
NU2211-E-XL-TVP2;55;100;25;117000;118000;20700;8700;4700
N311-E-XL-TVP2;55;120;29;159000;139000;25500;7000;5500
NU311-E-XL-TVP2;55;120;29;159000;139000;19000;7000;5500
NU2311-E-XL-TVP2;55;120;43;235000;230000;43500;7000;4500
NU411-XL-M1;55;140;33;187000;164000;21900;8200;5100
NU1012-XL-M1;60;95;18;52000;55000;7200;12800;6400
NU212-E-XL-TVP2;60;110;22;112000;103000;13900;7700;5300
N212-E-XL-TVP2;60;110;22;112000;103000;17800;7700;5300
NU2212-E-XL-TVP2;60;110;28;152000;153000;27500;7700;4300
N312-E-XL-TVP2;60;130;31;177000;157000;28500;6500;5200
NU312-E-XL-TVP2;60;130;31;177000;157000;21400;6500;5200
NU2312-E-XL-TVP2;60;130;46;265000;260000;50000;6500;4250
NU412-XL-M1;60;150;35;211000;184000;24300;7500;4800
NU1013-XL-M1;65;100;18;53000;58000;7600;12200;5900
N213-E-XL-TVP2;65;120;23;128000;120000;20800;7100;4900
NU213-E-XL-TVP2;65;120;23;128000;120000;16400;7100;4900
NU2213-E-XL-TVP2;65;120;31;177000;182000;33500;7100;4100
N313-E-XL-TVP2;65;140;33;214000;191000;34500;5900;4800
NU313-E-XL-TVP2;65;140;33;214000;191000;25500;5900;4800
NU2313-E-XL-TVP2;65;140;48;295000;285000;54000;5900;4000
NU413-XL-M1;65;160;37;230000;203000;26500;7000;4600
NU1014-XL-M1;70;110;20;77000;81000;10200;10700;5500
N214-E-XL-TVP2;70;125;24;141000;138000;24300;6800;4650
NU214-E-XL-TVP2;70;125;24;141000;138000;19000;6800;4650
