Designatie;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y1;Y2;Y0
21304-E1-XL-TVPB;20;52;15;41;33;3700;16000;9700;0,3;2,25;3,34;2,2
22205-E1-XL;25;52;18;48,5;42,5;4800;14400;9200;0,33;2,07;3,09;2,03
22205-E1-XL-K;25;52;18;48,5;42,5;4800;14400;9200;0,33;2,07;3,09;2,03
21305-E1-XL-TVPB;25;62;17;52;43,5;4750;13900;8400;0,28;2,43;3,61;2,37
22206-E1-XL;30;62;20;64;57;6900;12500;7800;0,3;2,26;3,37;2,21
22206-E1-XL-K;30;62;20;64;57;6900;12500;7800;0,3;2,26;3,37;2,21
21306-E1-XL-TVPB;30;72;19;72;63;7000;12000;7300;0,27;2,49;3,71;2,43
22207-E1-XL;35;72;23;89;81;9400;10700;7000;0,31;2,21;3,29;2,16
22207-E1-XL-K;35;72;23;89;81;9400;10700;7000;0,31;2,21;3,29;2,16
21307-E1-XL-K-TVPB;35;80;21;83;74;8100;10900;6800;0,26;2,55;3,8;2,5
21307-E1-XL-TVPB;35;80;21;83;74;8100;10900;6800;0,26;2,55;3,8;2,5
22208-E1-XL;40;80;23;101;91;11800;10500;6200;0,27;2,49;3,71;2,43
22208-E1-XL-K;40;80;23;101;91;11800;10500;6200;0,27;2,49;3,71;2,43
21308-E1-XL;40;90;23;109;107;14300;9800;5200;0,23;2,95;4,4;2,89
21308-E1-XL-K;40;90;23;109;107;14300;9800;5200;0,23;2,95;4,4;2,89
22308-E1-XL;40;90;33;156;149;13100;7600;5500;0,36;1,86;2,77;1,82
22308-E1-XL-K;40;90;33;156;149;13100;7600;5500;0,36;1,86;2,77;1,82
22209-E1-XL;45;85;23;104;99;12700;10100;5600;0,25;2,74;4,08;2,68
22209-E1-XL-K;45;85;23;104;99;12700;10100;5600;0,25;2,74;4,08;2,68
21309-E1-XL;45;100;25;129;130;17300;9000;4750;0,21;3,17;4,72;3,1
21309-E1-XL-K;45;100;25;129;130;17300;9000;4750;0,21;3,17;4,72;3,1
22309-E1-XL;45;100;36;187;183;16000;6800;5000;0,36;1,9;2,83;1,86
22309-E1-XL-K;45;100;36;187;183;16000;6800;5000;0,36;1,9;2,83;1,86
22210-E1-XL;50;90;23;109;107;14300;9800;5100;0,23;2,95;4,4;2,89
22210-E1-XL-K;50;90;23;109;107;14300;9800;5100;0,23;2,95;4,4;2,89
21310-E1-XL;50;110;27;129;130;17300;9000;5400;0,21;3,17;4,72;3,1
21310-E1-XL-K;50;110;27;129;130;17300;9000;5400;0,21;3,17;4,72;3,1
22310-E1-XL;50;110;40;229;223;20100;6300;4800;0,36;1,86;2,77;1,82
22310-E1-XL-K;50;110;40;229;223;20100;6300;4800;0,36;1,86;2,77;1,82
22211-E1-XL;55;100;25;129;130;17300;9000;4650;0,21;3,17;4,72;3,1
22211-E1-XL-K;55;100;25;129;130;17300;9000;4650;0,21;3,17;4,72;3,1
21311-E1-XL;55;120;29;160;155;20200;8100;5100;0,23;2,98;4,44;2,92
21311-E1-XL-K;55;120;29;160;155;20200;8100;5100;0,23;2,98;4,44;2,92
22311-E1-XL;55;120;43;265;260;23900;5800;4500;0,36;1,89;2,81;1,84
22311-E1-XL-K;55;120;43;265;260;23900;5800;4500;0,36;1,89;2,81;1,84
22212-E1-XL;60;110;28;160;155;20200;8100;4550;0,23;2,98;4,44;2,92
22212-E1-XL-K;60;110;28;160;155;20200;8100;4550;0,23;2,98;4,44;2,92
