Designation;d;D;B;C [N];C0 [N];Cu [N];Limiting speed;Reference speed
7200-B-XL-JP;10;30;9;5300;2600;174;34500;22600
7200-B-XL-TVP;10;30;9;5300;2600;174;34500;22600
7200-B-XL-2RS-TVP;10;30;9;5300;2600;174;16100;–
7201-B-XL-JP;12;32;10;7400;3550;241;30000;21100
7201-B-XL-TVP;12;32;10;7400;3550;241;30000;21100
7201-B-XL-2RS-TVP;12;32;10;7400;3550;241;14800;–
7301-B-XL-JP;12;37;12;11400;5300;355;25500;16300
7301-B-XL-TVP;12;37;12;11400;5300;355;25500;16300
7202-B-XL-JP;15;35;11;8400;4450;300;27000;19100
7202-B-XL-TVP;15;35;11;8400;4450;300;27000;19100
7202-B-XL-2RS-TVP;15;35;11;8400;4450;300;12800;–
7302-B-XL-JP;15;42;13;14200;7200;485;22200;14200
7302-B-XL-TVP;15;42;13;14200;7200;485;22200;14200
7302-B-XL-2RS-TVP;15;42;13;14200;7200;485;11100;–
7203-B-XL-JP;17;40;12;10500;5700;380;23400;17100
7203-B-XL-TVP;17;40;12;10500;5700;380;23400;17100
7203-B-XL-2RS-TVP;17;40;12;10500;5700;380;11100;–
7303-B-XL-JP;17;47;14;17600;9000;610;19600;12800
7303-B-XL-TVP;17;47;14;17600;9000;610;19600;12800
7303-B-XL-2RS-TVP;17;47;14;17600;9000;610;9800;–
7004-B-XL-TVP;20;42;12;14500;8000;540;20500;14400
7004-B-XL-2RS-TVP;20;42;12;14500;8000;540;9800;–
7204-B-XL-JP;20;47;14;14000;7800;520;19700;15400
7204-B-XL-TVP;20;47;14;14000;7800;520;19700;15400
7204-B-XL-2RS-TVP;20;47;14;14000;7800;520;9500;–
7304-B-XL-JP;20;52;15;20400;11100;750;17600;11500
7304-B-XL-TVP;20;52;15;20400;11100;750;17600;11500
7304-B-XL-2RS-TVP;20;52;15;20400;11100;750;8600;–
7005-B-XL-TVP;25;47;12;16000;9900;670;18100;12000
7005-B-XL-2RS-TVP;25;47;12;16000;9900;670;7900;–
7205-B-XL-JP;25;52;15;15300;9000;600;17400;13700
7205-B-XL-TVP;25;52;15;15300;9000;600;17400;13700
7205-B-XL-2RS-TVP;25;52;15;15300;9000;600;8000;–
7305-B-XL-JP;25;62;17;28000;15800;1070;14300;9800
7305-B-XL-TVP;25;62;17;28000;15800;1070;14300;9800
7305-B-XL-2RS-TVP;25;62;17;28000;15800;1070;7100;–
7405-B-XL-MP;25;80;21;43500;26000;1750;15100;7500
71806-B-TVH;30;42;7;5600;4550;295;20600;9600
7006-B-XL-TVP;30;55;13;19900;13400;900;15200;10200
7006-B-XL-2RS-TVP;30;55;13;19900;13400;900;6500;–
7206-B-XL-JP;30;62;16;21700;14100;950;14400;11200
7206-B-XL-TVP;30;62;16;21700;14100;950;14400;11200
7206-B-XL-2RS-TVP;30;62;16;21700;14100;950;6500;–
7306-B-XL-JP;30;72;19;35500;22100;1490;12300;8600
7306-B-XL-TVP;30;72;19;35500;22100;1490;12300;8600
7306-B-XL-2RS-TVP;30;72;19;35500;22100;1490;6000;–
7406-B-XL-MP;30;90;23;51000;30500;2050;13100;6800
71807-B-TVH;35;47;7;6000;5300;350;18100;8200
7007-B-XL-TVP;35;62;14;24300;17200;1160;13400;9000
7007-B-XL-2RS-TVP;35;62;14;24300;17200;1160;6000;–
7207-B-XL-JP;35;72;17;28000;19000;1280;12200;9600
7207-B-XL-TVP;35;72;17;28000;19000;1280;12200;9600
7207-B-XL-2RS-TVP;35;72;17;28000;19000;1280;5600;–
7307-B-XL-JP;35;80;21;43000;27500;1860;10800;7900
7307-B-XL-TVP;35;80;21;43000;27500;1860;10800;7900
7307-B-XL-2RS-TVP;35;80;21;43000;27500;1860;5300;–
7407-B-XL-MP;35;100;25;65000;43000;2900;11000;5400
71808-B-TVH;40;52;7;6300;5800;395;16200;7200
7008-B-XL-TVP;40;68;15;28000;20300;1370;12100;8400
7008-B-XL-2RS-TVP;40;68;15;28000;20300;1370;5200;–
7208-B-XL-JP;40;80;18;34000;23500;1580;10900;8600
