Designatie;d;D;B;C;T;C [N];C0 [N];Cu [N];Limiting speed;Reference speed;e;Y;Y0
30202-XL;15;35;11;10;11.75;17700;14400;1740;26000;13400;0.35;1.73;0.95
30302-XL;15;42;13;11;14.25;27500;20800;2800;21700;12000;0.29;2.11;1.16
30203-XL;17;40;12;11;13.25;22900;19000;2490;22200;11800;0.35;1.74;0.96
32203-XL;17;40;16;14;17.25;34500;30000;4300;21400;10700;0.31;1.92;1.06
30303-XL;17;47;14;12;15.25;33000;25000;3400;19300;10800;0.29;2.11;1.16
32303-A;17;47;19;16;20.25;36500;36000;3750;17200;10300;0.29;2.11;1.16
32904;20;37;12;9;12;15700;18400;1960;21100;11700;0.32;1.88;1.04
32004-X-XL;20;42;15;12;15;28500;29000;3950;19900;10700;0.37;1.6;0.88
T4DB020;20;45;14;10;14;22200;21100;2240;17500;10700;0.45;1.34;0.73
30204-XL;20;47;14;12;15.25;32000;27500;3800;18500;10100;0.35;1.74;0.96
32204-B-XL;20;47;18;15;19.25;39000;37000;5600;17600;9500;0.52;1.16;0.64
32204-XL;20;47;18;15;19.25;40500;36500;5400;18400;9700;0.33;1.81;1
T2ED020;20;50;22;18.5;22;46000;49000;5800;15400;9400;0.33;1.8;0.99
30304-A;20;52;15;13;16.25;34000;32500;3600;15600;9700;0.3;2;1.1
31304;20;52;15;11;16.25;30500;29500;3350;14900;8400;0.73;0.82;0.45
32304-A;20;52;21;18;22.25;46000;47500;5600;15200;9400;0.3;2;1.1
329/22;22;40;12;9;12;16000;18100;1910;19300;10700;0.32;1.88;1.04
320/22-X;22;44;15;11.5;15;24800;30500;3200;17000;10000;0.4;1.51;0.83
T4CB022;22;47;14;10;14;23300;22800;2430;16600;10000;0.47;1.27;0.7
T2ED022;22;52;22;18.5;22;47500;51000;6000;14600;8800;0.33;1.84;1.01
303/22;22;56;16;14;17.25;38000;36000;4050;14600;9400;0.3;2.01;1.1
32905;25;42;12;9;12;14900;18800;1910;18000;9900;0.32;1.88;1.04
33005;25;47;17;14;17;33000;41500;4650;15700;9400;0.29;2.07;1.14
32005-X-XL;25;47;15;11.5;15;31500;34000;4700;17200;9000;0.43;1.39;0.77
T4CB025;25;50;14;10;14;24200;24600;2650;15300;9200;0.51;1.18;0.65
33205;25;52;22;18;22;48500;58000;6900;14200;8300;0.35;1.71;0.94
30205-XL;25;52;15;13;16.25;38500;35500;5000;16400;9100;0.37;1.6;0.88
32205-B-XL;25;52;18;15;19.25;44500;46000;7000;15500;8100;0.58;1.03;0.57
32205-XL;25;52;18;16;19.25;47500;45000;6700;15900;8000;0.36;1.67;0.92
T2EE025;25;58;26;21;26;61000;69000;8500;12900;8200;0.33;1.8;0.99
30305-A;25;62;17;15;18.25;47000;45500;5100;12800;8000;0.3;2;1.1
31305-A;25;62;17;13;18.25;37000;38500;4400;12000;7100;0.83;0.73;0.4
32305-A;25;62;24;20;25.25;62000;66000;7800;12500;7800;0.3;2;1.1
32305-B;25;62;24;20;25.25;57000;66000;8000;12200;7900;0.55;1.1;0.6
329/28;28;45;12;9;12;15800;20900;2130;16700;8900;0.32;1.88;1.04
320/28-X;28;52;16;12;16;34000;40500;4550;14200;8400;0.43;1.39;0.77
T4CB028;28;55;14.5;11;15;30000;31000;3400;13900;8400;0.47;1.27;0.7
322/28-B;28;58;19;16;20.25;43500;52000;6100;12800;7500;0.56;1.07;0.59
332/28;28;58;24;19;24;57000;66000;8000;12700;7700;0.34;1.77;0.97
T2ED028;28;65;27;22;27;71000;78000;9400;11600;7500;0.34;1.77;0.97
303/28;28;68;18;16;19.75;53000;51000;5800;11700;7600;0.3;2;1.1
32906;30;47;12;9;12;16300;22000;2260;15900;8400;0.32;1.88;1.04
32006-X-XL;30;55;17;13;17;46000;47000;6500;14600;7900;0.43;1.39;0.77
33006-XL;30;55;20;16;20;53000;57000;8800;14500;8300;0.29;2.06;1.13
T4CB030;30;60;16.5;12.5;17;38000;38500;4500;12600;8000;0.47;1.27;0.7
30206-XL;30;62;16;14;17.25;52000;48500;7200;13700;7400;0.37;1.6;0.88
32206-B-XL;30;62;20;17;21.25;62000;65000;9700;12900;6700;0.56;1.07;0.59
32206-XL;30;62;20;17;21.25;63000;62000;9700;13300;6800;0.37;1.6;0.88
33206-XL;30;62;25;19.5;25;77000;78000;12400;13000;7000;0.34;1.76;0.97
T2EE030;30;68;29;24;29;80000;93000;11500;10900;7100;0.33;1.81;1
30306-XL;30;72;19;16;20.75;77000;61000;8400;12100;7100;0.32;1.9;1.05
31306-A;30;72;19;14;20.75;45000;46500;5300;10300;6400;0.83;0.73;0.4
32306-A;30;72;27;23;28.75;80000;89000;10800;10700;7000;0.32;1.9;1.05
32306-B;30;72;27;23;28.75;73000;87000;10600;10400;7100;0.55;1.1;0.6
329/32;32;52;15;10;14;24200;30500;3000;14300;7900;0.32;1.88;1.04
320/32-X;32;58;17;13;17;39000;48500;5600;12600;7500;0.45;1.32;0.73
302/32;32;65;17;15;18.25;47500;52000;6100;11800;7300;0.37;1.6;0.88
332/32;32;65;26;20.5;26;71000;85000;10500;11200;6800;0.35;1.73;0.95
T4DB032;32;65;17.5;13.5;18;43500;45000;5300;11700;7500;0.47;1.27;0.7
T2ED032;32;72;29;24;29;87000;100000;12200;10400;6700;0.34;1.78;0.98
303/32;32;75;20;17.5;21.75;67000;68000;7900;10400;6800;0.32;1.9;1.05
32907;35;55;14;11.5;14;27500;38000;3850;13200;7000;0.29;2.06;1.13
33007;35;62;21;17;21;53000;70000;8500;11500;7200;0.31;1.97;1.08
32007-X-XL;35;62;18;14;18;54000;57000;8900;12800;7000;0.45;1.32;0.73
T4DB035;35;70;18;14;19;51000;55000;6400;10800;6900;0.45;1.32;0.73
30207-XL;35;72;17;15;18.25;64000;59000;8900;11700;6400;0.37;1.6;0.88
32207-B-XL;35;72;23;19;24.25;75000;80000;12500;11100;6200;0.58;1.03;0.57
32207-XL;35;72;23;19;24.25;84000;85000;13400;11400;6000;0.37;1.6;0.88
33207-XL;35;72;28;22;28;103000;105000;16800;11100;6200;0.35;1.7;0.93
T2EE035;35;78;32.5;27;33;106000;120000;14700;9400;6400;0.32;1.85;1.02
30307-A;35;80;21;18;22.75;73000;75000;8600;9700;6500;0.32;1.9;1.05
31307-A;35;80;21;15;22.75;60000;64000;7500;9100;5700;0.83;0.73;0.4
32307-A;35;80;31;25;32.75;100000;113000;13600;9400;6500;0.32;1.9;1.05
32307-B;35;80;31;25;32.75;95000;116000;14400;9100;6400;0.55;1.1;0.6
320/38-X;38;65;18;14;18;49000;64000;7500;11100;6400;0.37;1.6;0.88
32908;40;62;15;12;15;32500;46000;5000;11700;6200;0.29;2.07;1.14
33008;40;68;22;18;22;62000;87000;10600;10400;6300;0.28;2.12;1.17
32008-X-XL;40;68;19;14.5;19;63000;71000;10100;11600;6200;0.38;1.58;0.87
33108-XL;40;75;26;20.5;26;93000;104000;16800;10400;5500;0.36;1.69;0.93
T4CB040;40;75;18;14;19;53000;59000;6900;9900;6300;0.49;1.22;0.67
33208;40;80;32;25;32;105000;134000;16600;9000;5700;0.36;1.68;0.92
30208-XL;40;80;18;16;19.75;73000;67000;10100;10500;5900;0.37;1.6;0.88
32208-B-XL;40;80;23;19;24.75;87000;88000;13900;10000;5500;0.55;1.1;0.6
32208-XL;40;80;23;19;24.75;94000;94000;14700;10200;5300;0.37;1.6;0.88
T2EE040;40;85;32.5;28;33;114000;139000;17000;8600;5700;0.34;1.74;0.96
30308-A;40;90;23;20;25.25;91000;102000;11900;8500;5700;0.35;1.74;0.96
31308-XL;40;90;23;17;25.25;89000;83000;12100;8700;5100;0.83;0.73;0.4
32308-B;40;90;33;27;35.25;120000;149000;18200;8000;5600;0.55;1.1;0.6
32308-XL;40;90;33;27;35.25;143000;148000;23400;9200;5700;0.35;1.74;0.96
320/42-X;42;72;20;15.5;20;59000;82000;9800;9900;5700;0.37;1.6;0.88
32909;45;68;15;12;15;34500;52000;5700;10600;5500;0.32;1.88;1.04
33009;45;75;24;19;24;71000;103000;12700;9400;5900;0.29;2.04;1.12
32009-X-XL;45;75;20;15.5;20;72000;86000;13300;10300;5400;0.39;1.53;0.84
33109;45;80;26;20.5;26;84000;115000;14400;8800;4950;0.38;1.57;0.86
33209;45;85;32;25;32;107000;146000;18300;8200;5200;0.39;1.56;0.86
30209-XL;45;85;19;16;20.75;84000;83000;12600;9600;5400;0.4;1.48;0.81
32209-B-XL;45;85;23;19;24.75;93000;99000;15500;9200;4950;0.59;1.01;0.56
32209-XL;45;85;23;19;24.75;97000;100000;15700;9400;4850;0.4;1.48;0.81
T4DB045;45;85;20;15.5;21;69000;77000;9200;8700;5600;0.46;1.31;0.72
T5ED045;45;90;31;26;32;105000;141000;17800;7900;5200;0.55;1.1;0.6
T2ED045;45;95;35;30;36;143000;175000;21600;7700;5100;0.32;1.86;1.02
T7FC045-XL;45;95;26.5;20;29;105000;109000;16600;8100;6100;0.87;0.69;0.38
30309-A;45;100;25;22;27.25;111000;125000;14800;7600;5100;0.35;1.74;0.96
31309-XL;45;100;25;18;27.25;114000;108000;16000;7800;4650;0.83;0.73;0.4
32309-A;45;100;36;30;38.25;154000;193000;23900;7300;4900;0.35;1.74;0.96
32309-BA;45;100;36;30;38.25;144000;188000;23200;7200;5100;0.55;1.1;0.6
32910;50;72;15;12;15;35500;55000;6100;9900;5100;0.34;1.76;0.97
32010-X-XL;50;80;20;15.5;20;75000;94000;14500;9600;4950;0.42;1.42;0.78
33010-XL;50;80;24;19;24;89000;114000;18200;9600;5300;0.32;1.9;1.04
