Designation;d;D;b;C [N];C0 [N];Cu [N];Limiting speed;Reference speed
QJ303-XL-MPA;17;47;14;24500;15100;1100;29500;12000
QJ304-XL-MPA;20;52;15;31000;19600;1320;26000;10700
QJ205-XL-MPA;25;52;15;26000;18800;1260;25500;12300
QJ305-XL-TVP;25;62;17;46500;31500;2120;14100;8800
QJ206-XL-MPA;30;62;16;37500;27500;1880;21100;10200
QJ306-XL-TVP;30;72;19;61000;43000;2900;11900;7600
QJ207-XL-MPA;35;72;17;45000;35500;2400;18000;8500
QJ307-XL-TVP;35;80;21;65000;51000;3400;10800;7000
QJ208-XL-TVP;40;80;18;58000;46500;3150;10600;7500
QJ308-XL-TVP;40;90;23;90000;69000;4650;9300;6200
QJ209-XL-TVP;45;85;19;66000;57000;3850;9800;6900
QJ309-XL-TVP;45;100;25;107000;83000;6100;8300;5700
QJ210-XL-MPA;50;90;20;62000;56000;3850;13900;6700
QJ310-XL-MPA;50;110;27;115000;92000;6600;11300;5400
QJ211-XL-TVP;55;100;21;81000;76000;5200;8200;5800
QJ311-XL-MPA;55;120;29;133000;108000;7900;10300;5000
QJ1012-MPA;60;95;18;47500;52000;2600;13100;5800
QJ212-XL-TVP;60;110;22;98000;93000;6400;7400;5300
QJ312-XL-MPA;60;130;31;152000;126000;8900;9500;4700
QJ213-XL-MPA;65;120;23;106000;104000;7000;10300;4900
QJ313-XL-MPA;65;140;33;171000;145000;10500;8700;4450
QJ214-XL-TVP;70;125;24;123000;122000;9100;6500;4600
QJ314-XL-MPA;70;150;35;198000;165000;11500;8100;4200
QJ215-XL-TVP;75;130;25;129000;130000;9100;6200;4450
QJ315-XL-N2-MPA;75;160;37;229000;204000;14000;7600;3900
QJ216-XL-MPA;80;140;26;136000;137000;9400;8600;4250
QJ316-N2-MPA;80;170;39;226000;220000;10800;7000;3750
QJ1017-N2-MPA;85;130;22;80000;95000;4650;9200;4250
QJ217-XL-MPA;85;150;28;158000;160000;10800;8000;4050
QJ317-N2-MPA;85;180;41;248000;255000;12400;6600;3550
QJ218-XL-N2-TVP;90;160;30;189000;198000;12500;4950;3750
QJ318-N2-MPA;90;190;43;265000;285000;12900;6300;3350
QJ1019-N2-MPA;95;145;24;98000;121000;5600;8200;3850
QJ219-N2-MPA;95;170;32;190000;212000;10100;7000;3700
QJ319-N2-MPA;95;200;45;285000;315000;14100;5900;3250
QJ220-N2-MPA;100;180;34;224000;241000;11200;6600;3550
QJ320-N2-MPA;100;215;47;325000;365000;16300;5400;3000
QJ1021-N2-MPA;105;160;26;117000;145000;6400;7400;3550
QJ221-N2-MPA;105;190;36;233000;255000;11600;6200;3450
QJ1022-N2-MPA;110;170;28;138000;184000;7900;6900;3350
QJ222-N2-MPA;110;200;38;249000;285000;12300;5900;3350
QJ322-N2-MPA;110;240;50;345000;415000;17400;4950;2700
QJ1024-N2-MPA;120;180;28;145000;200000;8300;6500;3100
QJ224-N2-MPA;120;215;40;285000;340000;14700;5400;3050
QJ324-N2-MPA;120;260;55;385000;485000;19300;4550;2480
QJ226-N2-MPA;130;230;40;295000;370000;15400;5100;2800
QJ326-N2-MPA;130;280;58;425000;570000;21600;4200;2220
QJ228-N2-MPA;140;250;42;315000;420000;16500;4700;2600
QJ328-N2-MPA;140;300;62;470000;660000;24900;3900;2030
QJ1030-N2-MPA;150;225;35;205000;295000;10900;5100;2650
QJ230-N2-MPA;150;270;45;350000;485000;18400;4350;2360
QJ330-N2-MPA;150;320;65;510000;730000;25500;3650;1870
QJ1032-N2-MPA;160;240;38;231000;335000;11900;4750;2600
QJ232-N2-MPA;160;290;48;370000;530000;19900;4050;2200
QJ1034-N2-MPA;170;260;42;280000;430000;14800;4350;2340
QJ234-N2-MPA;170;310;52;420000;630000;22800;3750;2010
QJ1036-N2-MPA;180;280;46;340000;510000;18700;4050;2140
QJ236-N2-MPA;180;320;52;435000;680000;23900;3600;1870
QJ1038-N2-MPA;190;290;46;345000;540000;19200;3900;2010
QJ1040-N2-MPA;200;310;51;390000;620000;21300;3600;1890
